latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
10.8357,78.05394,340.99,0.39,0.36,2026-08-21,0816,N20,low,2.0NRT,311.62,4.7,D
10.8054,77.76113,340.48,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,309.96,4.65,D
11.10589,78.88667,338.26,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,303.68,1.82,D
11.10533,78.88292,337.62,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,304.54,1.82,D
11.10569,78.88302,340.59,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,304.33,3.81,D
11.1194,78.69011,339.67,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,309.33,7.32,D
11.04524,77.91196,345.73,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,302.89,4.75,D
11.21367,77.60988,338.37,0.39,0.36,2026-08-21,0816,N20,low,2.0NRT,308.71,4.34,D
11.25254,77.55219,338.94,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,306.19,4.97,D
11.17897,76.86507,331.84,0.38,0.36,2026-08-21,0816,N20,low,2.0NRT,302.16,3.47,D
11.34971,77.56582,335.42,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,304.54,2.44,D
11.42352,77.76451,339.77,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,303.7,3.96,D
11.42366,77.74271,337.5,0.39,0.36,2026-08-21,0816,N20,low,2.0NRT,308.16,3.7,D
11.71099,79.12828,348.21,0.43,0.38,2026-08-21,0816,N20,nominal,2.0NRT,307.85,30.85,D
11.71043,79.12439,333.44,0.43,0.38,2026-08-21,0816,N20,nominal,2.0NRT,303.11,8.99,D
11.52499,77.67209,339.7,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,306.95,5.68,D
11.52446,77.66854,337.79,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,307.36,5.77,D
12.05095,79.61237,343.91,0.45,0.39,2026-08-21,0816,N20,nominal,2.0NRT,301.8,5.05,D
11.81027,77.92296,343.83,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,307.15,3.37,D
12.31031,78.07397,331.42,0.4,0.37,2026-08-21,0816,N20,nominal,2.0NRT,300.53,2.61,D
12.72135,79.78169,335.43,0.46,0.39,2026-08-21,0816,N20,nominal,2.0NRT,298.23,3.63,D
12.79142,79.90376,332.75,0.47,0.4,2026-08-21,0816,N20,nominal,2.0NRT,296.99,2.83,D
12.85799,79.29736,334.29,0.44,0.38,2026-08-21,0816,N20,nominal,2.0NRT,297.84,3.16,D
12.86152,79.29686,336.55,0.44,0.38,2026-08-21,0816,N20,nominal,2.0NRT,298.09,8.07,D
13.09303,77.44754,334.14,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,298.91,2.67,D
13.26471,77.34718,341.7,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,300.35,19.62,D
14.60375,79.65997,333.91,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,293.59,5.52,D
14.68579,79.73881,336.96,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,301.35,2.18,D
14.68322,79.69376,341.06,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,303.28,7.5,D
14.68298,79.69458,344.78,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,303.07,6.93,D
14.72931,79.92735,336.28,0.49,0.41,2026-08-21,0816,N20,nominal,2.0NRT,299.45,3.95,D
14.73303,79.92682,336.47,0.49,0.41,2026-08-21,0816,N20,nominal,2.0NRT,297.07,3.95,D
14.72149,79.72996,336.1,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,299.34,3,D
14.52269,77.43584,335.59,0.4,0.37,2026-08-21,0816,N20,nominal,2.0NRT,301.68,4.98,D
15.10593,79.37793,341.84,0.47,0.4,2026-08-21,0816,N20,nominal,2.0NRT,301.9,16.95,D
15.4127,79.60164,337.37,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,294.92,4.21,D
15.41208,79.59715,335.37,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,295.13,2.69,D
15.69083,79.12525,334.57,0.46,0.39,2026-08-21,0816,N20,nominal,2.0NRT,302.75,6.67,D
15.80123,79.52772,340.5,0.49,0.4,2026-08-21,0816,N20,nominal,2.0NRT,305.68,14.67,D
15.60369,77.62315,334.52,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,300.52,3.09,D
16.01146,80.31809,339.73,0.54,0.42,2026-08-21,0816,N20,nominal,2.0NRT,300.01,10.58,D
15.94305,78.95891,332.2,0.46,0.39,2026-08-21,0816,N20,low,2.0NRT,302.9,4.95,D
16.04546,79.40362,338.7,0.48,0.4,2026-08-21,0816,N20,nominal,2.0NRT,302.96,4.21,D
16.30597,78.48191,336.18,0.44,0.38,2026-08-21,0816,N20,nominal,2.0NRT,300.5,3.14,D
16.39512,78.57832,338.95,0.44,0.39,2026-08-21,0816,N20,nominal,2.0NRT,303.23,3.81,D
16.38151,78.17361,334.6,0.43,0.38,2026-08-21,0816,N20,nominal,2.0NRT,298.72,1.71,D
15.76939,73.70415,207.93,0.42,0.38,2026-08-21,0816,N20,low,2.0NRT,297.41,115.94,D
15.76875,73.70028,253.68,0.42,0.38,2026-08-21,0816,N20,low,2.0NRT,296.55,115.94,D
15.77281,73.70358,337.78,0.42,0.38,2026-08-21,0816,N20,low,2.0NRT,295.82,135.46,D
16.70696,78.27788,338.78,0.44,0.38,2026-08-21,0816,N20,nominal,2.0NRT,302.8,3.8,D
17.34807,80.77615,336.74,0.4,0.44,2026-08-21,0816,N20,nominal,2.0NRT,294.6,4.11,D
17.61271,78.17559,330.62,0.44,0.38,2026-08-21,0816,N20,nominal,2.0NRT,299.31,1.89,D
18.68586,73.04067,338.76,0.42,0.37,2026-08-21,0818,N20,nominal,2.0NRT,296.96,11.47,D
18.68608,73.04124,335.45,0.42,0.37,2026-08-21,0818,N20,nominal,2.0NRT,294.98,5.13,D
18.68543,73.03734,336.4,0.42,0.37,2026-08-21,0818,N20,low,2.0NRT,297.7,5.13,D
29.82514,72.83802,344.23,0.39,0.36,2026-08-21,0820,N20,nominal,2.0NRT,302.54,3.2,D
